ds,yhat,Product Name,week
2026-02-23,23.14123234152794,Aqua Embroidered Endi Silk-Cotton Panjabi,9
2026-03-02,23.039597004652023,Aqua Embroidered Endi Silk-Cotton Panjabi,10
2026-03-09,22.85049659013748,Aqua Embroidered Endi Silk-Cotton Panjabi,11
2026-03-16,22.829783603549004,Aqua Embroidered Endi Silk-Cotton Panjabi,12
2026-03-23,22.783716022968292,Aqua Embroidered Endi Silk-Cotton Panjabi,13
2026-03-30,22.77671903371811,Aqua Embroidered Endi Silk-Cotton Panjabi,14
2025-12-29,63.898070991039276,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,1
2026-01-05,66.7849400639534,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,2
2026-01-12,67.2519308924675,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,3
2026-01-19,64.30095595121384,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,4
2026-01-26,57.00061172246933,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,5
2026-02-02,55.36944133043289,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,6
2026-02-09,50.83811044692993,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,7
2026-02-16,50.0259627699852,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,8
2026-02-23,47.09984225034714,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,9
2026-03-02,46.33347827196121,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,10
2026-03-09,44.77204316854477,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,11
2026-03-16,44.31633532047272,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,12
2026-03-23,43.11148005723953,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,13
2026-03-30,43.06336444616318,Aqua Embroidered Monochromic Beauty Theme Shalwar Kameez,14
2025-12-29,21.075148105621338,Aqua Glass Textured and Embroidered Viscose Panjabi,1
2026-01-05,20.66156756877899,Aqua Glass Textured and Embroidered Viscose Panjabi,2
2026-01-12,19.87787616252899,Aqua Glass Textured and Embroidered Viscose Panjabi,3
2026-01-19,19.86197781562805,Aqua Glass Textured and Embroidered Viscose Panjabi,4
2026-01-26,18.00031018257141,Aqua Glass Textured and Embroidered Viscose Panjabi,5
2026-02-02,17.939520597457886,Aqua Glass Textured and Embroidered Viscose Panjabi,6
2026-02-09,16.938943088054657,Aqua Glass Textured and Embroidered Viscose Panjabi,7
2026-02-16,16.882596135139465,Aqua Glass Textured and Embroidered Viscose Panjabi,8
2026-02-23,16.325906336307526,Aqua Glass Textured and Embroidered Viscose Panjabi,9
2026-03-02,16.303412437438965,Aqua Glass Textured and Embroidered Viscose Panjabi,10
2026-03-09,16.008733332157135,Aqua Glass Textured and Embroidered Viscose Panjabi,11
2026-03-16,15.974957168102264,Aqua Glass Textured and Embroidered Viscose Panjabi,12
2026-03-23,15.848103880882263,Aqua Glass Textured and Embroidered Viscose Panjabi,13
2026-03-30,15.831910490989685,Aqua Glass Textured and Embroidered Viscose Panjabi,14
2025-12-29,37.30546295642852,Aqua Printed Viscose-Cotton Maternity Top,1
2026-01-05,37.167167454957955,Aqua Printed Viscose-Cotton Maternity Top,2
2026-01-12,37.006743729114525,Aqua Printed Viscose-Cotton Maternity Top,3
2026-01-19,35.20426413416862,Aqua Printed Viscose-Cotton Maternity Top,4
2026-01-26,32.20710825920104,Aqua Printed Viscose-Cotton Maternity Top,5
2026-02-02,31.145106911659237,Aqua Printed Viscose-Cotton Maternity Top,6
2026-02-09,29.16865816712379,Aqua Printed Viscose-Cotton Maternity Top,7
2026-02-16,28.54019299149513,Aqua Printed Viscose-Cotton Maternity Top,8
2026-02-23,27.31436902284622,Aqua Printed Viscose-Cotton Maternity Top,9
2026-03-02,27.081529945135113,Aqua Printed Viscose-Cotton Maternity Top,10
2026-03-09,26.364537119865414,Aqua Printed Viscose-Cotton Maternity Top,11
2026-03-16,26.13925704360008,Aqua Printed Viscose-Cotton Maternity Top,12
2026-03-23,25.847261846065518,Aqua Printed Viscose-Cotton Maternity Top,13
2026-03-30,25.804159015417095,Aqua Printed Viscose-Cotton Maternity Top,14
2025-12-29,40.91647958755493,Aqua Printed and Embroidered Vortex-Cotton Kurta,1
2026-01-05,42.256545543670654,Aqua Printed and Embroidered Vortex-Cotton Kurta,2
2026-01-12,41.75676944851875,Aqua Printed and Embroidered Vortex-Cotton Kurta,3
2026-01-19,40.43529859185219,Aqua Printed and Embroidered Vortex-Cotton Kurta,4
2026-01-26,39.25909295678139,Aqua Printed and Embroidered Vortex-Cotton Kurta,5
2026-02-02,38.50848615169525,Aqua Printed and Embroidered Vortex-Cotton Kurta,6
2026-02-09,37.21000102162361,Aqua Printed and Embroidered Vortex-Cotton Kurta,7
2026-02-16,36.51301699876785,Aqua Printed and Embroidered Vortex-Cotton Kurta,8
2026-02-23,36.1767520904541,Aqua Printed and Embroidered Vortex-Cotton Kurta,9
2026-03-02,35.57114812731743,Aqua Printed and Embroidered Vortex-Cotton Kurta,10
2026-03-09,35.24228063225746,Aqua Printed and Embroidered Vortex-Cotton Kurta,11
2026-03-16,34.70632576942444,Aqua Printed and Embroidered Vortex-Cotton Kurta,12
2026-03-23,34.44811034202576,Aqua Printed and Embroidered Vortex-Cotton Kurta,13
2026-03-30,34.35722541809082,Aqua Printed and Embroidered Vortex-Cotton Kurta,14
2025-12-29,48.16034972667694,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,1
2026-01-05,46.5492262840271,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,2
2026-01-12,46.689698219299316,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,3
2026-01-19,45.82573366165161,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,4
2026-01-26,43.87317281961441,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,5
2026-02-02,43.16111308336258,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,6
2026-02-09,41.60867029428482,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,7
2026-02-16,41.00294864177704,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,8
2026-02-23,39.908513486385345,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,9
2026-03-02,39.45671200752258,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,10
2026-03-09,38.27996760606766,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,11
2026-03-16,37.83511155843735,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,12
2026-03-23,37.2480742931366,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,13
2026-03-30,37.04438716173172,Aqua/Turquoise Embroidered Monochromic Beauty Theme Shalwar Kameez,14
2025-12-29,46.308488845825195,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,1
2026-01-05,46.900025367736816,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,2
